DISTRICT,DATE,POLLULLANT,TYPE,URBAN_AREA,RATIO,ID,Status,MEAN
SARRIÀ - SANT GERVASI,2023-10-11,O3,background,suburban,GREEN_AREA_Q1,Low,Very unfavorable,93.5
LES CORTS,2023-10-11,PM2.5,background,urban,GREEN_AREA_Q2,Low,Reasonably good,8.791666666666666
CIUTAT VELLA,2023-10-11,NO2,background,urban,GREEN_AREA_Q3,Low,Reasonably good,37.041666666666664
LES CORTS,2023-10-11,O3,background,urban,GREEN_AREA_Q2,Low,Reasonably good,62.125
CIUTAT VELLA,2023-10-11,O3,background,urban,GREEN_AREA_Q3,Low,Good,35.791666666666664
LES CORTS,2023-10-11,NOX,background,urban,GREEN_AREA_Q2,Low,Reasonably good,22.125
LES CORTS,2023-10-10,NO2,background,urban,GREEN_AREA_Q2,Low,Good,17.416666666666668
EIXAMPLE,2023-10-10,PM2.5,traffic,urban,GREEN_AREA_Q1,Moderate,Unfavorable,14.083333333333334
EIXAMPLE,2023-10-10,CO,traffic,urban,GREEN_AREA_Q1,Moderate,Good,366.6666666666667
HORTA - GUINARDÓ,2023-10-10,NOX,background,urban,GREEN_AREA_Q1,Moderate,Reasonably good,34.958333333333336
SARRIÀ - SANT GERVASI,2023-10-10,NOX,background,suburban,GREEN_AREA_Q1,Low,Good,16.416666666666668
GRÀCIA,2023-10-10,SO2,traffic,urban,GREEN_AREA_Q4,Low,Good,2.0416666666666665
NOU BARRIS - SANT ANDREU,2023-10-10,NO2,background,urban,GREEN_AREA_Q3,Extremely High,Reasonably good,33.208333333333336
EIXAMPLE,2023-10-10,O3,traffic,urban,GREEN_AREA_Q1,Moderate,Good,50.708333333333336
NOU BARRIS - SANT ANDREU,2023-10-10,NOX,background,urban,GREEN_AREA_Q3,Extremely High,Regular,45.25
EIXAMPLE,2023-10-10,SO2,traffic,urban,GREEN_AREA_Q1,Moderate,Good,6.083333333333333
EIXAMPLE,2023-10-10,NO,traffic,urban,GREEN_AREA_Q1,Moderate,Good,6.875
EIXAMPLE,2023-10-10,NO2,traffic,urban,GREEN_AREA_Q1,Moderate,Reasonably good,35.041666666666664
CIUTAT VELLA,2023-10-10,O3,background,urban,GREEN_AREA_Q3,Low,Good,40.708333333333336
SANT MARTÍ,2023-10-10,NOX,background,urban,GREEN_AREA_Q4,Extremely High,Regular,42.5
CIUTAT VELLA,2023-10-10,NOX,background,urban,GREEN_AREA_Q3,Low,Regular,49.666666666666664
GRÀCIA,2023-10-10,O3,traffic,urban,GREEN_AREA_Q4,Low,Good,56.625
SARRIÀ - SANT GERVASI,2023-10-10,NO2,background,suburban,GREEN_AREA_Q1,Low,Good,8.458333333333334
EIXAMPLE,2023-10-10,PM10,traffic,urban,GREEN_AREA_Q1,Moderate,Reasonably good,33.666666666666664
CIUTAT VELLA,2023-10-10,NO2,background,urban,GREEN_AREA_Q3,Low,Reasonably good,35.333333333333336
CIUTAT VELLA,2023-10-10,NO,background,urban,GREEN_AREA_Q3,Low,Good,9.75
LES CORTS,2023-10-10,NO,background,urban,GREEN_AREA_Q2,Low,Good,2.0
SARRIÀ - SANT GERVASI,2023-10-10,O3,background,suburban,GREEN_AREA_Q1,Low,Very unfavorable,93.66666666666667
HORTA - GUINARDÓ,2023-10-10,SO2,background,urban,GREEN_AREA_Q1,Moderate,Good,1.6666666666666667
SANT MARTÍ,2023-10-10,NO,background,urban,GREEN_AREA_Q4,Extremely High,Good,7.958333333333333
NOU BARRIS - SANT ANDREU,2023-10-10,NO,background,urban,GREEN_AREA_Q3,Extremely High,Good,7.958333333333333
LES CORTS,2023-10-10,NOX,background,urban,GREEN_AREA_Q2,Low,Reasonably good,20.5
SANTS - MONTJUÏC,2023-10-10,NOX,background,urban,GREEN_AREA_Q2,High,Reasonably good,22.375
SANTS - MONTJUÏC,2023-10-10,NO,background,urban,GREEN_AREA_Q2,High,Good,1.6666666666666667
SARRIÀ - SANT GERVASI,2023-10-10,NO,background,suburban,GREEN_AREA_Q1,Low,Good,5.291666666666667
HORTA - GUINARDÓ,2023-10-10,PM10,background,urban,GREEN_AREA_Q1,Moderate,Reasonably good,27.875
SARRIÀ - SANT GERVASI,2023-10-10,PM10,background,suburban,GREEN_AREA_Q1,Low,Good,19.5
LES CORTS,2023-10-10,PM10,background,urban,GREEN_AREA_Q2,Low,Good,17.666666666666668
GRÀCIA,2023-10-10,NO,traffic,urban,GREEN_AREA_Q4,Low,Good,5.708333333333333
SANTS - MONTJUÏC,2023-10-10,NO2,background,urban,GREEN_AREA_Q2,High,Reasonably good,20.291666666666668
LES CORTS,2023-10-10,SO2,background,urban,GREEN_AREA_Q2,Low,Good,2.125
SANT MARTÍ,2023-10-10,NO2,background,urban,GREEN_AREA_Q4,Extremely High,Reasonably good,31.125
GRÀCIA,2023-10-10,NOX,traffic,urban,GREEN_AREA_Q4,Low,Regular,41.083333333333336
LES CORTS,2023-10-10,CO,background,urban,GREEN_AREA_Q2,Low,Good,225.0
HORTA - GUINARDÓ,2023-10-10,NO2,background,urban,GREEN_AREA_Q1,Moderate,Reasonably good,29.083333333333332
LES CORTS,2023-10-10,PM2.5,background,urban,GREEN_AREA_Q2,Low,Regular,10.5
LES CORTS,2023-10-10,O3,background,urban,GREEN_AREA_Q2,Low,Reasonably good,64.45833333333333
GRÀCIA,2023-10-10,NO2,traffic,urban,GREEN_AREA_Q4,Low,Reasonably good,32.333333333333336
SANT MARTÍ,2023-10-10,PM10,background,urban,GREEN_AREA_Q4,Extremely High,Reasonably good,34.5
GRÀCIA,2023-10-10,CO,traffic,urban,GREEN_AREA_Q4,Low,Good,245.83333333333334
GRÀCIA,2023-10-10,PM10,traffic,urban,GREEN_AREA_Q4,Low,Reasonably good,24.125
HORTA - GUINARDÓ,2023-10-10,CO,background,urban,GREEN_AREA_Q1,Moderate,Good,270.8333333333333
HORTA - GUINARDÓ,2023-10-10,NO,background,urban,GREEN_AREA_Q1,Moderate,Good,3.9583333333333335
HORTA - GUINARDÓ,2023-10-10,O3,background,urban,GREEN_AREA_Q1,Moderate,Reasonably good,60.0
SARRIÀ - SANT GERVASI,2023-10-09,NOX,background,suburban,GREEN_AREA_Q1,Low,Good,17.541666666666668
EIXAMPLE,2023-10-09,O3,traffic,urban,GREEN_AREA_Q1,Moderate,Good,47.583333333333336
EIXAMPLE,2023-10-09,NO2,traffic,urban,GREEN_AREA_Q1,Moderate,Reasonably good,33.166666666666664
GRÀCIA,2023-10-09,SO2,traffic,urban,GREEN_AREA_Q4,Low,Good,1.9166666666666667
NOU BARRIS - SANT ANDREU,2023-10-09,NO,background,urban,GREEN_AREA_Q3,Extremely High,Good,6.666666666666667
LES CORTS,2023-10-09,NOX,background,urban,GREEN_AREA_Q2,Low,Reasonably good,24.708333333333332
GRÀCIA,2023-10-09,NO2,traffic,urban,GREEN_AREA_Q4,Low,Reasonably good,33.083333333333336
LES CORTS,2023-10-09,CO,background,urban,GREEN_AREA_Q2,Low,Good,233.33333333333334
HORTA - GUINARDÓ,2023-10-09,O3,background,urban,GREEN_AREA_Q1,Moderate,Regular,72.71436257473958
SANTS - MONTJUÏC,2023-10-09,NOX,background,urban,GREEN_AREA_Q2,High,Reasonably good,23.166666666666668
CIUTAT VELLA,2023-10-09,NO2,background,urban,GREEN_AREA_Q3,Low,Reasonably good,32.208333333333336
SANT MARTÍ,2023-10-09,NOX,background,urban,GREEN_AREA_Q4,Extremely High,Reasonably good,34.291666666666664
EIXAMPLE,2023-10-09,SO2,traffic,urban,GREEN_AREA_Q1,Moderate,Good,3.125
HORTA - GUINARDÓ,2023-10-09,NO2,background,urban,GREEN_AREA_Q1,Moderate,Reasonably good,28.208333333333332
SARRIÀ - SANT GERVASI,2023-10-09,NO,background,suburban,GREEN_AREA_Q1,Low,Good,5.333333333333333
EIXAMPLE,2023-10-09,CO,traffic,urban,GREEN_AREA_Q1,Moderate,Good,308.3333333333333
EIXAMPLE,2023-10-09,PM10,traffic,urban,GREEN_AREA_Q1,Moderate,Reasonably good,33.342210119871794
LES CORTS,2023-10-09,NO2,background,urban,GREEN_AREA_Q2,Low,Good,19.875
LES CORTS,2023-10-09,O3,background,urban,GREEN_AREA_Q2,Low,Good,53.916666666666664
HORTA - GUINARDÓ,2023-10-09,PM10,background,urban,GREEN_AREA_Q1,Moderate,Reasonably good,31.583333333333332
SANT MARTÍ,2023-10-09,NO,background,urban,GREEN_AREA_Q4,Extremely High,Good,6.416666666666667
CIUTAT VELLA,2023-10-09,NOX,background,urban,GREEN_AREA_Q3,Low,Regular,44.875
LES CORTS,2023-10-09,PM10,background,urban,GREEN_AREA_Q2,Low,Reasonably good,20.291666666666668
LES CORTS,2023-10-09,NO,background,urban,GREEN_AREA_Q2,Low,Good,3.0416666666666665
HORTA - GUINARDÓ,2023-10-09,NO,background,urban,GREEN_AREA_Q1,Moderate,Good,6.5
LES CORTS,2023-10-09,SO2,background,urban,GREEN_AREA_Q2,Low,Good,2.0
HORTA - GUINARDÓ,2023-10-09,NOX,background,urban,GREEN_AREA_Q1,Moderate,Reasonably good,37.875
HORTA - GUINARDÓ,2023-10-09,CO,background,urban,GREEN_AREA_Q1,Moderate,Good,300.0
GRÀCIA,2023-10-09,O3,traffic,urban,GREEN_AREA_Q4,Low,Good,50.416666666666664
SANTS - MONTJUÏC,2023-10-09,NO2,background,urban,GREEN_AREA_Q2,High,Reasonably good,21.458333333333332
CIUTAT VELLA,2023-10-09,NO,background,urban,GREEN_AREA_Q3,Low,Good,8.666666666666666
SARRIÀ - SANT GERVASI,2023-10-09,NO2,background,suburban,GREEN_AREA_Q1,Low,Good,9.541666666666666
SANT MARTÍ,2023-10-09,NO2,background,urban,GREEN_AREA_Q4,Extremely High,Reasonably good,25.083333333333332
CIUTAT VELLA,2023-10-09,O3,background,urban,GREEN_AREA_Q3,Low,Good,37.208333333333336
GRÀCIA,2023-10-09,NOX,traffic,urban,GREEN_AREA_Q4,Low,Regular,42.833333333333336
LES CORTS,2023-10-09,PM2.5,background,urban,GREEN_AREA_Q2,Low,Unfavorable,13.333333333333334
SARRIÀ - SANT GERVASI,2023-10-09,PM10,background,suburban,GREEN_AREA_Q1,Low,Reasonably good,22.583333333333332
SANTS - MONTJUÏC,2023-10-09,NO,background,urban,GREEN_AREA_Q2,High,Good,1.625
SARRIÀ - SANT GERVASI,2023-10-09,O3,background,suburban,GREEN_AREA_Q1,Low,Unfavorable,89.54166666666667
GRÀCIA,2023-10-09,NO,traffic,urban,GREEN_AREA_Q4,Low,Good,6.5
NOU BARRIS - SANT ANDREU,2023-10-09,NO2,background,urban,GREEN_AREA_Q3,Extremely High,Reasonably good,32.666666666666664
GRÀCIA,2023-10-09,PM10,traffic,urban,GREEN_AREA_Q4,Low,Reasonably good,26.791666666666668
GRÀCIA,2023-10-09,CO,traffic,urban,GREEN_AREA_Q4,Low,Good,233.33333333333334
NOU BARRIS - SANT ANDREU,2023-10-09,NOX,background,urban,GREEN_AREA_Q3,Extremely High,Regular,42.833333333333336
HORTA - GUINARDÓ,2023-10-09,SO2,background,urban,GREEN_AREA_Q1,Moderate,Good,1.4583333333333333
EIXAMPLE,2023-10-09,PM2.5,traffic,urban,GREEN_AREA_Q1,Moderate,Unfavorable,16.597017812179487
SANT MARTÍ,2023-10-09,PM10,background,urban,GREEN_AREA_Q4,Extremely High,Reasonably good,36.666666666666664
EIXAMPLE,2023-10-09,NO,traffic,urban,GREEN_AREA_Q1,Moderate,Good,6.833333333333333
SARRIÀ - SANT GERVASI,2023-10-08,NOX,background,suburban,GREEN_AREA_Q1,Low,Good,18.291666666666668
NOU BARRIS - SANT ANDREU,2023-10-08,NOX,background,urban,GREEN_AREA_Q3,Extremely High,Reasonably good,35.0
SANTS - MONTJUÏC,2023-10-08,NO,background,urban,GREEN_AREA_Q2,High,Good,2.125
HORTA - GUINARDÓ,2023-10-08,SO2,background,urban,GREEN_AREA_Q1,Moderate,Good,1.4166666666666667
GRÀCIA,2023-10-08,NOX,traffic,urban,GREEN_AREA_Q4,Low,Reasonably good,31.041666666666668
CIUTAT VELLA,2023-10-08,NO,background,urban,GREEN_AREA_Q3,Low,Good,1.875
HORTA - GUINARDÓ,2023-10-08,NO2,background,urban,GREEN_AREA_Q1,Moderate,Reasonably good,20.333333333333332
LES CORTS,2023-10-08,NOX,background,urban,GREEN_AREA_Q2,Low,Good,18.625
NOU BARRIS - SANT ANDREU,2023-10-08,NO2,background,urban,GREEN_AREA_Q3,Extremely High,Reasonably good,25.166666666666668
SARRIÀ - SANT GERVASI,2023-10-08,NO,background,suburban,GREEN_AREA_Q1,Low,Good,5.958333333333333
GRÀCIA,2023-10-08,SO2,traffic,urban,GREEN_AREA_Q4,Low,Good,1.625
HORTA - GUINARDÓ,2023-10-08,CO,background,urban,GREEN_AREA_Q1,Moderate,Good,237.5
EIXAMPLE,2023-10-08,SO2,traffic,urban,GREEN_AREA_Q1,Moderate,Good,2.625
LES CORTS,2023-10-08,NO,background,urban,GREEN_AREA_Q2,Low,Good,2.6666666666666665
EIXAMPLE,2023-10-08,NO2,traffic,urban,GREEN_AREA_Q1,Moderate,Reasonably good,30.666666666666668
LES CORTS,2023-10-08,NO2,background,urban,GREEN_AREA_Q2,Low,Good,14.333333333333334
HORTA - GUINARDÓ,2023-10-08,NOX,background,urban,GREEN_AREA_Q1,Moderate,Reasonably good,23.416666666666668
CIUTAT VELLA,2023-10-08,NO2,background,urban,GREEN_AREA_Q3,Low,Reasonably good,23.958333333333332
SANTS - MONTJUÏC,2023-10-08,NOX,background,urban,GREEN_AREA_Q2,High,Good,19.458333333333332
EIXAMPLE,2023-10-08,CO,traffic,urban,GREEN_AREA_Q1,Moderate,Good,308.3333333333333
EIXAMPLE,2023-10-08,NO,traffic,urban,GREEN_AREA_Q1,Moderate,Good,7.541666666666667
EIXAMPLE,2023-10-08,PM2.5,traffic,urban,GREEN_AREA_Q1,Moderate,Very unfavorable,18.416666666666668
EIXAMPLE,2023-10-08,O3,traffic,urban,GREEN_AREA_Q1,Moderate,Good,49.5
SARRIÀ - SANT GERVASI,2023-10-08,PM10,background,suburban,GREEN_AREA_Q1,Low,Reasonably good,24.916666666666668
SANT MARTÍ,2023-10-08,NO2,background,urban,GREEN_AREA_Q4,Extremely High,Good,18.458333333333332
SANT MARTÍ,2023-10-08,NO,background,urban,GREEN_AREA_Q4,Extremely High,Good,2.25
LES CORTS,2023-10-08,PM2.5,background,urban,GREEN_AREA_Q2,Low,Unfavorable,14.833333333333334
LES CORTS,2023-10-08,CO,background,urban,GREEN_AREA_Q2,Low,Good,204.16666666666666
NOU BARRIS - SANT ANDREU,2023-10-08,NO,background,urban,GREEN_AREA_Q3,Extremely High,Good,6.375
LES CORTS,2023-10-08,SO2,background,urban,GREEN_AREA_Q2,Low,Good,2.2083333333333335
GRÀCIA,2023-10-08,CO,traffic,urban,GREEN_AREA_Q4,Low,Good,208.33333333333334
CIUTAT VELLA,2023-10-08,O3,background,urban,GREEN_AREA_Q3,Low,Good,41.458333333333336
SANT MARTÍ,2023-10-08,PM10,background,urban,GREEN_AREA_Q4,Extremely High,Reasonably good,25.583333333333332
LES CORTS,2023-10-08,O3,background,urban,GREEN_AREA_Q2,Low,Good,57.791666666666664
GRÀCIA,2023-10-08,NO,traffic,urban,GREEN_AREA_Q4,Low,Good,4.0
GRÀCIA,2023-10-08,PM10,traffic,urban,GREEN_AREA_Q4,Low,Reasonably good,25.458333333333332
SANT MARTÍ,2023-10-08,NOX,background,urban,GREEN_AREA_Q4,Extremely High,Reasonably good,20.375
HORTA - GUINARDÓ,2023-10-08,NO,background,urban,GREEN_AREA_Q1,Moderate,Good,2.4166666666666665
EIXAMPLE,2023-10-08,PM10,traffic,urban,GREEN_AREA_Q1,Moderate,Reasonably good,29.833333333333332
LES CORTS,2023-10-08,PM10,background,urban,GREEN_AREA_Q2,Low,Good,19.416666666666668
SARRIÀ - SANT GERVASI,2023-10-08,NO2,background,suburban,GREEN_AREA_Q1,Low,Good,9.541666666666666
SANTS - MONTJUÏC,2023-10-08,NO2,background,urban,GREEN_AREA_Q2,High,Good,17.291666666666668
GRÀCIA,2023-10-08,O3,traffic,urban,GREEN_AREA_Q4,Low,Good,54.166666666666664
GRÀCIA,2023-10-08,NO2,traffic,urban,GREEN_AREA_Q4,Low,Reasonably good,25.166666666666668
CIUTAT VELLA,2023-10-08,NOX,background,urban,GREEN_AREA_Q3,Low,Reasonably good,26.041666666666668
HORTA - GUINARDÓ,2023-10-08,PM10,background,urban,GREEN_AREA_Q1,Moderate,Reasonably good,25.041666666666668
SARRIÀ - SANT GERVASI,2023-10-08,O3,background,suburban,GREEN_AREA_Q1,Low,Unfavorable,88.875
HORTA - GUINARDÓ,2023-10-07,NO,background,urban,GREEN_AREA_Q1,Moderate,Good,2.6666666666666665
CIUTAT VELLA,2023-10-07,O3,background,urban,GREEN_AREA_Q3,Low,Good,52.833333333333336
SANT MARTÍ,2023-10-07,NO,background,urban,GREEN_AREA_Q4,Extremely High,Good,2.0416666666666665
LES CORTS,2023-10-07,SO2,background,urban,GREEN_AREA_Q2,Low,Good,2.0
HORTA - GUINARDÓ,2023-10-07,PM10,background,urban,GREEN_AREA_Q1,Moderate,Reasonably good,30.25
GRÀCIA,2023-10-07,NO,traffic,urban,GREEN_AREA_Q4,Low,Good,4.333333333333333
GRÀCIA,2023-10-07,PM10,traffic,urban,GREEN_AREA_Q4,Low,Reasonably good,30.5
LES CORTS,2023-10-07,NO,background,urban,GREEN_AREA_Q2,Low,Good,1.5833333333333333
EIXAMPLE,2023-10-07,SO2,traffic,urban,GREEN_AREA_Q1,Moderate,Good,1.9166666666666667
SARRIÀ - SANT GERVASI,2023-10-07,NO,background,suburban,GREEN_AREA_Q1,Low,Good,5.458333333333333
LES CORTS,2023-10-07,PM10,background,urban,GREEN_AREA_Q2,Low,Reasonably good,24.458333333333332
LES CORTS,2023-10-07,PM2.5,background,urban,GREEN_AREA_Q2,Low,Very unfavorable,18.625
SARRIÀ - SANT GERVASI,2023-10-07,PM10,background,suburban,GREEN_AREA_Q1,Low,Reasonably good,28.25
LES CORTS,2023-10-07,O3,background,urban,GREEN_AREA_Q2,Low,Reasonably good,68.08333333333333
EIXAMPLE,2023-10-07,CO,traffic,urban,GREEN_AREA_Q1,Moderate,Good,366.6666666666667
EIXAMPLE,2023-10-07,NO,traffic,urban,GREEN_AREA_Q1,Moderate,Good,7.583333333333333
NOU BARRIS - SANT ANDREU,2023-10-07,NO,background,urban,GREEN_AREA_Q3,Extremely High,Good,7.5
EIXAMPLE,2023-10-07,NO2,traffic,urban,GREEN_AREA_Q1,Moderate,Reasonably good,35.416666666666664
CIUTAT VELLA,2023-10-07,NO2,background,urban,GREEN_AREA_Q3,Low,Reasonably good,20.958333333333332
LES CORTS,2023-10-07,NOX,background,urban,GREEN_AREA_Q2,Low,Good,15.75
NOU BARRIS - SANT ANDREU,2023-10-07,NOX,background,urban,GREEN_AREA_Q3,Extremely High,Reasonably good,39.5
EIXAMPLE,2023-10-07,PM10,traffic,urban,GREEN_AREA_Q1,Moderate,Reasonably good,33.833333333333336
GRÀCIA,2023-10-07,O3,traffic,urban,GREEN_AREA_Q4,Low,Good,59.625
SANTS - MONTJUÏC,2023-10-07,NOX,background,urban,GREEN_AREA_Q2,High,Good,17.583333333333332
SANTS - MONTJUÏC,2023-10-07,NO2,background,urban,GREEN_AREA_Q2,High,Good,16.625
CIUTAT VELLA,2023-10-07,NOX,background,urban,GREEN_AREA_Q3,Low,Reasonably good,22.958333333333332
HORTA - GUINARDÓ,2023-10-07,SO2,background,urban,GREEN_AREA_Q1,Moderate,Good,1.0416666666666667
SARRIÀ - SANT GERVASI,2023-10-07,O3,background,suburban,GREEN_AREA_Q1,Low,Very unfavorable,95.91666666666667
SANTS - MONTJUÏC,2023-10-07,NO,background,urban,GREEN_AREA_Q2,High,Good,1.3333333333333333
SARRIÀ - SANT GERVASI,2023-10-07,NOX,background,suburban,GREEN_AREA_Q1,Low,Good,18.458333333333332
SANT MARTÍ,2023-10-07,NOX,background,urban,GREEN_AREA_Q4,Extremely High,Reasonably good,21.625
EIXAMPLE,2023-10-07,PM2.5,traffic,urban,GREEN_AREA_Q1,Moderate,Very unfavorable,22.583333333333332
HORTA - GUINARDÓ,2023-10-07,NOX,background,urban,GREEN_AREA_Q1,Moderate,Reasonably good,26.916666666666668
LES CORTS,2023-10-07,NO2,background,urban,GREEN_AREA_Q2,Low,Good,13.208333333333334
GRÀCIA,2023-10-07,SO2,traffic,urban,GREEN_AREA_Q4,Low,Good,1.375
LES CORTS,2023-10-07,CO,background,urban,GREEN_AREA_Q2,Low,Good,212.5
HORTA - GUINARDÓ,2023-10-07,NO2,background,urban,GREEN_AREA_Q1,Moderate,Reasonably good,23.166666666666668
CIUTAT VELLA,2023-10-07,NO,background,urban,GREEN_AREA_Q3,Low,Good,1.8333333333333333
NOU BARRIS - SANT ANDREU,2023-10-07,NO2,background,urban,GREEN_AREA_Q3,Extremely High,Reasonably good,28.0
SANT MARTÍ,2023-10-07,PM10,background,urban,GREEN_AREA_Q4,Extremely High,Reasonably good,28.291666666666668
SANT MARTÍ,2023-10-07,NO2,background,urban,GREEN_AREA_Q4,Extremely High,Good,19.708333333333332
GRÀCIA,2023-10-07,NO2,traffic,urban,GREEN_AREA_Q4,Low,Reasonably good,29.666666666666668
SARRIÀ - SANT GERVASI,2023-10-07,NO2,background,suburban,GREEN_AREA_Q1,Low,Good,10.333333333333334
GRÀCIA,2023-10-07,NOX,traffic,urban,GREEN_AREA_Q4,Low,Reasonably good,36.375
GRÀCIA,2023-10-07,CO,traffic,urban,GREEN_AREA_Q4,Low,Good,229.16666666666666
HORTA - GUINARDÓ,2023-10-07,CO,background,urban,GREEN_AREA_Q1,Moderate,Good,250.0
EIXAMPLE,2023-10-07,O3,traffic,urban,GREEN_AREA_Q1,Moderate,Good,54.416666666666664
NOU BARRIS - SANT ANDREU,2023-10-06,NO,background,urban,GREEN_AREA_Q3,Extremely High,Good,11.333333333333334
GRÀCIA,2023-10-06,PM10,traffic,urban,GREEN_AREA_Q4,Low,Reasonably good,34.0
LES CORTS,2023-10-06,PM10,background,urban,GREEN_AREA_Q2,Low,Reasonably good,24.039076508333334
CIUTAT VELLA,2023-10-06,O3,background,urban,GREEN_AREA_Q3,Low,Good,58.75
GRÀCIA,2023-10-06,SO2,traffic,urban,GREEN_AREA_Q4,Low,Good,1.625
SARRIÀ - SANT GERVASI,2023-10-06,NOX,background,suburban,GREEN_AREA_Q1,Low,Reasonably good,24.625
LES CORTS,2023-10-06,NO2,background,urban,GREEN_AREA_Q2,Low,Good,16.632826508333334
LES CORTS,2023-10-06,PM2.5,background,urban,GREEN_AREA_Q2,Low,Unfavorable,17.054701508333334
HORTA - GUINARDÓ,2023-10-06,NO,background,urban,GREEN_AREA_Q1,Moderate,Good,1.875
GRÀCIA,2023-10-06,CO,traffic,urban,GREEN_AREA_Q4,Low,Good,291.6666666666667
